,Confirmed,Deaths,Recovered,People_partially_vaccinated,People_fully_vaccinated
2020-01-22,0,0,0,0.0,0.0
2020-01-23,0,0,0,0.0,0.0
2020-01-24,0,0,0,0.0,0.0
2020-01-25,0,0,0,0.0,0.0
2020-01-26,0,0,0,0.0,0.0
2020-01-27,1,0,0,0.0,0.0
2020-01-28,3,0,0,0.0,0.0
2020-01-29,0,0,0,0.0,0.0
2020-01-30,0,0,0,0.0,0.0
2020-01-31,1,0,0,0.0,0.0
2020-02-01,3,0,0,0.0,0.0
2020-02-02,2,0,0,0.0,0.0
2020-02-03,2,0,0,0.0,0.0
2020-02-04,0,0,0,0.0,0.0
2020-02-05,0,0,0,0.0,0.0
2020-02-06,0,0,0,0.0,0.0
2020-02-07,1,0,0,0.0,0.0
2020-02-08,0,0,0,0.0,0.0
2020-02-09,1,0,0,0.0,0.0
2020-02-10,0,0,0,0.0,0.0
2020-02-11,2,0,0,0.0,0.0
2020-02-12,0,0,0,0.0,0.0
2020-02-13,0,0,1,0.0,0.0
2020-02-14,0,0,0,0.0,0.0
2020-02-15,0,0,0,0.0,0.0
2020-02-16,0,0,0,0.0,0.0
2020-02-17,0,0,0,0.0,0.0
2020-02-18,0,0,11,0.0,0.0
2020-02-19,0,0,0,0.0,0.0
2020-02-20,0,0,0,0.0,0.0
2020-02-21,0,0,2,0.0,0.0
2020-02-22,0,0,0,0.0,0.0
2020-02-23,0,0,0,0.0,0.0
2020-02-24,0,0,0,0.0,0.0
2020-02-25,1,0,0,0.0,0.0
2020-02-26,10,0,1,0.0,0.0
2020-02-27,19,0,1,0.0,0.0
2020-02-28,2,0,0,0.0,0.0
2020-02-29,31,0,0,0.0,0.0
2020-03-01,51,0,0,0.0,0.0
2020-03-02,29,0,0,0.0,0.0
2020-03-03,37,0,0,0.0,0.0
2020-03-04,66,0,0,0.0,0.0
2020-03-05,220,0,0,0.0,0.0
2020-03-06,188,0,1,0.0,0.0
2020-03-07,129,0,1,0.0,0.0
2020-03-08,241,0,0,0.0,0.0
2020-03-09,136,2,0,0.0,0.0
2020-03-10,281,0,0,0.0,0.0
2020-03-11,451,1,7,0.0,0.0
2020-03-12,170,0,0,0.0,0.0
2020-03-13,1597,4,21,0.0,0.0
2020-03-14,910,2,0,0.0,0.0
2020-03-15,1210,2,0,0.0,0.0
2020-03-16,1477,6,21,0.0,0.0
2020-03-17,1985,7,0,0.0,0.0
2020-03-18,3070,4,38,0.0,0.0
2020-03-19,2993,16,8,0.0,0.0
2020-03-20,4528,23,67,0.0,0.0
2020-03-21,2365,17,53,0.0,0.0
2020-03-22,2660,10,33,0.0,0.0
2020-03-23,4183,29,0,0.0,0.0
2020-03-24,3930,34,2977,0.0,0.0
2020-03-25,4337,49,304,0.0,0.0
2020-03-26,6615,61,2126,0.0,0.0
2020-03-27,6933,75,985,0.0,0.0
