,Confirmed,Deaths,Recovered,People_partially_vaccinated,People_fully_vaccinated
2020-01-22,0,0,0,0.0,0.0
2020-01-23,0,0,0,0.0,0.0
2020-01-24,0,0,0,0.0,0.0
2020-01-25,0,0,0,0.0,0.0
2020-01-26,0,0,0,0.0,0.0
2020-01-27,0,0,0,0.0,0.0
2020-01-28,0,0,0,0.0,0.0
2020-01-29,0,0,0,0.0,0.0
2020-01-30,0,0,0,0.0,0.0
2020-01-31,0,0,0,0.0,0.0
2020-02-01,0,0,0,0.0,0.0
2020-02-02,0,0,0,0.0,0.0
2020-02-03,0,0,0,0.0,0.0
2020-02-04,0,0,0,0.0,0.0
2020-02-05,0,0,0,0.0,0.0
2020-02-06,0,0,0,0.0,0.0
2020-02-07,0,0,0,0.0,0.0
2020-02-08,0,0,0,0.0,0.0
2020-02-09,0,0,0,0.0,0.0
2020-02-10,0,0,0,0.0,0.0
2020-02-11,0,0,0,0.0,0.0
2020-02-12,0,0,0,0.0,0.0
2020-02-13,0,0,0,0.0,0.0
2020-02-14,0,0,0,0.0,0.0
2020-02-15,0,0,0,0.0,0.0
2020-02-16,0,0,0,0.0,0.0
2020-02-17,0,0,0,0.0,0.0
2020-02-18,0,0,0,0.0,0.0
2020-02-19,0,0,0,0.0,0.0
2020-02-20,0,0,0,0.0,0.0
2020-02-21,1,0,0,0.0,0.0
2020-02-22,0,0,0,0.0,0.0
2020-02-23,0,0,0,0.0,0.0
2020-02-24,0,0,0,0.0,0.0
2020-02-25,0,0,0,0.0,0.0
2020-02-26,1,0,0,0.0,0.0
2020-02-27,1,0,0,0.0,0.0
2020-02-28,3,0,0,0.0,0.0
2020-02-29,0,0,0,0.0,0.0
2020-03-01,1,0,0,0.0,0.0
2020-03-02,5,0,0,0.0,0.0
2020-03-03,3,0,0,0.0,0.0
2020-03-04,0,0,0,0.0,0.0
2020-03-05,6,0,0,0.0,0.0
2020-03-06,16,0,0,0.0,0.0
2020-03-07,10,0,0,0.0,0.0
2020-03-08,9,0,0,0.0,0.0
2020-03-09,4,0,0,0.0,0.0
2020-03-10,28,0,0,0.0,0.0
2020-03-11,-28,0,0,0.0,0.0
2020-03-12,21,0,0,0.0,0.0
2020-03-13,31,0,1,0.0,0.0
2020-03-14,26,0,0,0.0,0.0
2020-03-15,39,0,0,0.0,0.0
2020-03-16,74,0,0,0.0,0.0
2020-03-17,44,0,2,0.0,0.0
2020-03-18,76,0,3,0.0,0.0
2020-03-19,15,0,5,0.0,0.0
2020-03-20,242,1,2,0.0,0.0
2020-03-21,215,0,1,0.0,0.0
2020-03-22,237,0,5,0.0,0.0
2020-03-23,169,0,3,0.0,0.0
2020-03-24,102,3,9,0.0,0.0
2020-03-25,1117,1,6,0.0,0.0
2020-03-26,520,5,12,0.0,0.0
2020-03-27,433,2,20,0.0,0.0
